Date,Clicks,Impressions,CTR,Position
2026-05-31,0,0,,
2026-06-01,0,3,0%,6.3
2026-06-02,0,2,0%,5.5
2026-06-03,0,1,0%,70
2026-06-04,0,0,,
2026-06-05,0,1,0%,11
2026-06-06,0,0,,
2026-06-07,0,0,,
2026-06-08,0,0,,
2026-06-09,0,3,0%,41.3
2026-06-10,0,0,,
2026-06-11,0,1,0%,1
2026-06-12,0,0,,
2026-06-13,0,0,,
2026-06-14,0,0,,
2026-06-15,0,0,,
2026-06-16,0,2,0%,26
2026-06-17,0,0,,
2026-06-18,0,0,,
2026-06-19,0,1,0%,90
2026-06-20,0,0,,
2026-06-21,0,0,,
2026-06-22,0,0,,
2026-06-23,0,0,,
2026-06-24,0,1,0%,1
2026-06-25,0,0,,
2026-06-26,0,0,,
2026-06-27,0,1,0%,3
2026-06-28,0,0,,
2026-06-29,0,2,0%,29.5
2026-06-30,0,3,0%,32.3
2026-07-01,0,1,0%,58
2026-07-02,0,62,0%,3.5
2026-07-03,0,11,0%,7.9
2026-07-04,0,7,0%,9.1
2026-07-05,0,0,,
2026-07-06,0,0,,
2026-07-07,0,3,0%,34.7
2026-07-08,0,3,0%,22.7
2026-07-09,0,0,,
2026-07-10,0,1,0%,2
2026-07-11,0,1,0%,72
2026-07-12,0,1,0%,2
2026-07-13,1,5,20%,9.4
2026-07-14,0,2,0%,30
2026-07-15,0,3,0%,6.3
2026-07-16,0,2,0%,6.5
2026-07-17,0,4,0%,25.5
2026-07-18,0,4,0%,2.2
2026-07-19,0,6,0%,18.7
2026-07-20,0,1,0%,10
2026-07-21,0,3,0%,27
2026-07-22,0,3,0%,1
2026-07-23,0,0,,
2026-07-24,0,1,0%,13
2026-07-25,0,1,0%,11
2026-07-26,0,4,0%,14.8
2026-07-27,0,2,0%,11
2026-07-28,0,2,0%,46
2026-07-29,0,1,0%,7
2026-07-30,0,5,0%,17.2
2026-07-31,0,404,0%,5
2026-08-01,0,364,0%,7.5
2026-08-02,0,4,0%,14
2026-08-03,0,7,0%,1
2026-08-04,0,10,0%,3.3
2026-08-05,0,6,0%,3.7
2026-08-06,0,4,0%,4
2026-08-07,0,7,0%,7.4
2026-08-08,0,5,0%,1
2026-08-09,0,10,0%,9.1
2026-08-10,1,5,20%,2.8
2026-08-11,0,2,0%,13.5
2026-08-12,0,1,0%,2
2026-08-13,0,4,0%,22.2
2026-08-14,0,1,0%,1
2026-08-15,0,1,0%,2
2026-08-16,0,0,,
2026-08-17,0,1,0%,6
2026-08-18,0,5,0%,18.4
2026-08-19,0,1,0%,28
2026-08-20,0,1,0%,3
2026-08-21,0,1,0%,2
2026-08-22,0,1,0%,4
2026-08-23,0,2,0%,11
2026-08-24,0,1,0%,1
2026-08-25,0,0,,
2026-08-26,0,1,0%,10
2026-08-27,0,3,0%,9.3
2026-08-28,0,0,,
2026-08-29,0,2,0%,98
2026-08-30,0,1,0%,7
