Country,Clicks,Impressions,CTR,Position
Kenya,2,85,2.35%,14.4
United States,0,888,0%,6.5
United Kingdom,0,10,0%,17.7
Germany,0,4,0%,4.25
Italy,0,3,0%,2
Spain,0,2,0%,10
Netherlands,0,2,0%,10
Philippines,0,2,0%,52
Australia,0,1,0%,1
Bulgaria,0,1,0%,1
Czechia,0,1,0%,1
Estonia,0,1,0%,1
India,0,1,0%,1
Sweden,0,1,0%,1
South Africa,0,1,0%,1
United Arab Emirates,0,1,0%,2
Bangladesh,0,1,0%,2
Sri Lanka,0,1,0%,2
Singapore,0,1,0%,2
Tanzania,0,1,0%,2
France,0,1,0%,3
Ireland,0,1,0%,5
Poland,0,1,0%,6
Ethiopia,0,1,0%,9
Pakistan,0,1,0%,12
Uganda,0,1,0%,20
Mexico,0,1,0%,99
