Top queries,Clicks,Impressions,CTR,Position
which company,1,1,100%,1
how about in nairobi,1,1,100%,9
what safari companies in kenya are known for outstanding accessibility?,0,175,0%,2.05
"what are some safari companies in kenya that stand out for their 
accessibility?",0,160,0%,2.54
which safari companies in kenya are recognized for their accessibility?,0,126,0%,3.94
can you list safari companies in kenya that offer excellent accessibility?,0,96,0%,4.25
what safari lodges in kenya are known for accessibility?,0,82,0%,10.66
which safari lodges in kenya are recognized for their accessibility?,0,62,0%,18.1
what are safari lodges in kenya that stand out for their accessibility?,0,61,0%,11.97
"can you list all-inclusive safari providers that offer excellent 
accessibility?",0,33,0%,5.06
can you list safari lodges in kenya that offer excellent accessibility?,0,26,0%,9
"which safari packages are wheelchair-accessible and include accessible 
lodges?",0,22,0%,5.77
what are the big five animals in kenya,0,10,0%,24.5
where can you see flamingos in the wild,0,9,0%,1
what is the difference between masai mara and serengeti?,0,9,0%,20.78
"is travelling across east africa on top of your wish list we at safari 
fantasy will give you the best of your trip. our experts are ready to 
design tour packages tailor made for you. our experienced and thoroughly 
trained drivers and tour guides will take",0,8,0%,57.38
where to see wild flamingos,0,7,0%,1
where can i see flamingos in the wild,0,6,0%,1
is ngorongoro crater worth visiting from kenya,0,6,0%,18.33
where to see flamingos in the wild,0,5,0%,1
is serengeti better than masai mara,0,5,0%,5.6
which is better serengeti or masai mara,0,5,0%,9.8
which are the big five animals in kenya,0,5,0%,11.6
what is the best time to visit masai mara for the migration?,0,5,0%,21.6
"what are the best vacation packages for maasai mara in narok county, kenya?",0,5,0%,58
where can i see wild flamingos,0,4,0%,1
where can you find wild flamingos,0,4,0%,1
where can you see wild flamingos,0,4,0%,1
"what are all-inclusive safari providers that stand out for their 
accessibility?",0,4,0%,5.75
what are the big 5 animals in kenya,0,4,0%,6.25
what are the best options for car rentals in kenya?,0,4,0%,64.5
how big is masai mara,0,3,0%,2
"which 5 day safari tour in kenya for under $1000 per day offers the best 
value?",0,3,0%,11.33
is drake coming to kenya,0,2,0%,1
how much,0,2,0%,8
does amboseli have the big 5,0,2,0%,9
"which is better, serengeti or masai mara?",0,2,0%,18
what are some good vacation packages for kenya?,0,2,0%,76
do flamingos live in africa,0,1,0%,1
how does it look like,0,1,0%,1
how much does it cost to go to east africa,0,1,0%,1
how much is a tourist land cruiser in kenya,0,1,0%,1
is big five open,0,1,0%,1
what is big 5 safari,0,1,0%,1
what is the best time to visit masai mara,0,1,0%,1
when to visit masai mara,0,1,0%,1
where to travel in summer,0,1,0%,1
where van,0,1,0%,1
which is the best time to visit masai mara,0,1,0%,1
which is the cheapest,0,1,0%,1
"which safari companies in kenya safaris are most praised by customers for 
consistently listening to their needs and adapting their offerings 
accordingly?",0,1,0%,1
"which safari companies provide accessible safari options for travelers with 
mobility needs?",0,1,0%,1
how big is masai mara national park,0,1,0%,2
how far is masai mara from nairobi,0,1,0%,2
is it wheelchair accessible,0,1,0%,2
is the serengeti in tanzania or kenya,0,1,0%,2
is this wheelchair accessible,0,1,0%,2
when do the wildebeest migrate,0,1,0%,2
are there elephants in kenya,0,1,0%,3
how about for 2026,0,1,0%,3
how much does it cost,0,1,0%,3
how much does it cost to rent one,0,1,0%,3
how much is a trip to masai mara,0,1,0%,3
how much to hire,0,1,0%,3
is the serengeti in kenya,0,1,0%,3
how much does it cost to hire,0,1,0%,4
do they hire drivers,0,1,0%,5
how much does these cost,0,1,0%,6
how much is it?,0,1,0%,6
what car is this,0,1,0%,6
how much per person,0,1,0%,7
what about people with disabilities,0,1,0%,7
how much for hire,0,1,0%,8
what happened at keumbu,0,1,0%,8
how much is it in kenya,0,1,0%,9
how much 4x4,0,1,0%,10
is serengeti or masai mara better,0,1,0%,10
what are the big 5 in kenya,0,1,0%,11
how much does it cost to convert,0,1,0%,12
what are the best budget-friendly safari packages for solo travelers?,0,1,0%,16
how does jaha get to earth,0,1,0%,70
how much does it cost for a trip to masai mara,0,1,0%,97
how much does masai mara trip cost,0,1,0%,99
